PaymentID,ReportID,PaymentMethod,PaymentDate,TotalAmount,CompanyPaidAmount,EmployeeDueAmount,PaymentStatus
PAY-28,00fb6cb8-7836-4fec-8371-5cdb73e499ac,ExpenseReimbursement,2025-07-01T00:00:00,1056.64,955.33,101.31,PAID
PAY-29,01057861-9d1d-4387-a133-d2b3ffe76cd3,ExpenseReimbursement,2025-05-08T00:00:00,876.71,805.83,70.88,PAID
PAY-30,0109b060-e016-4ee7-bd04-71ce86bfc96d,CorporateCardSettlement,2023-11-25T00:00:00,231.28,182.18,49.1,PAID
PAY-31,010f4120-88d5-4d87-927b-79a3f4063415,BankTransfer,2024-07-15T00:00:00,99.2,88.25,10.95,PAID
PAY-32,011134a9-745e-42e5-9010-d1a7cfcb1a83,BankTransfer,2024-05-10T00:00:00,182.1,152.77,29.33,PAID
PAY-33,01157869-f7cf-417d-a5c7-2b72dcf992d7,BankTransfer,2023-11-17T00:00:00,340.58,271.64,68.94,PAID
PAY-34,01231112-5c41-4a93-b1b3-b1cb74efa985,ExpenseReimbursement,2024-07-21T00:00:00,399.37,316.45,82.92,PAID
PAY-35,012d8ebe-f9c9-4432-9b95-c2f2c3943fff,BankTransfer,2025-01-12T00:00:00,754.18,749.44,4.74,PAID
PAY-36,013062ba-442f-4be8-a61b-f73fb8d4687b,BankTransfer,2024-09-20T00:00:00,124.46,98.93,25.53,PAID
PAY-37,014c7b72-2490-4598-b151-9383abe8bd9b,CorporateCardSettlement,2024-08-18T00:00:00,12.36,11.85,0.51,PAID
PAY-38,014cb91e-69d4-4f25-a089-bcd5d3bc7d26,BankTransfer,2023-12-30T00:00:00,1231.1,943.92,287.18,PAID
PAY-39,0152ed97-eee2-49d9-825c-8c9a71c87b8d,CorporateCardSettlement,2024-03-14T00:00:00,783.25,741.1,42.15,PAID
PAY-40,0154cab6-ae84-4e7a-95b4-c2703ce1c8d2,CorporateCardSettlement,2024-08-08T00:00:00,510.96,391.29,119.67,PAID
PAY-41,0157a110-0a14-44f3-ab09-654bf1529c00,ExpenseReimbursement,2025-03-15T00:00:00,787.9,691.95,95.95,PAID
PAY-42,015cd4eb-085e-458e-8eb8-4a1065ab0d35,ExpenseReimbursement,2025-07-13T00:00:00,132.29,124.17,8.12,PAID
PAY-43,015dd8ae-9217-4456-b52d-63c5dff4f3e5,ExpenseReimbursement,2024-03-10T00:00:00,1106.19,998.4,107.79,PAID
PAY-44,01710a7e-4063-46de-be10-20cc910dbad9,CorporateCardSettlement,2023-11-05T00:00:00,127.79,117.53,10.26,PAID
PAY-45,018a93c5-04f8-49d2-9195-950bfb381da6,ExpenseReimbursement,2025-10-13T00:00:00,1200.99,1085.17,115.82,PAID
PAY-46,018f214b-1109-4c47-9c03-4c9404c3f48b,BankTransfer,2024-04-12T00:00:00,1416.23,1103.13,313.1,PAID
PAY-47,01979497-20e9-436c-9b50-a86a6042911d,ExpenseReimbursement,2025-08-19T00:00:00,818.05,616.37,201.68,PAID
PAY-48,0197dc48-92f3-4a0f-b717-e724cf653d87,BankTransfer,2024-02-16T00:00:00,42.07,35.86,6.21,PAID
PAY-49,01ad3cc0-1fc5-40e0-936f-f8692c1ad1e5,BankTransfer,2025-09-18T00:00:00,329.82,307.07,22.75,PAID
PAY-50,01ae7944-9f5c-44f4-9137-7b6ec0b2f9a2,ExpenseReimbursement,2023-11-22T00:00:00,1223.41,1212.53,10.88,PAID
PAY-51,01b8f17a-233b-4452-acd2-834f540a3363,BankTransfer,2025-07-12T00:00:00,324.94,301.85,23.09,PAID
PAY-52,01be7046-d320-4f9d-9985-5924371e6869,ExpenseReimbursement,2025-01-20T00:00:00,198.2,154.17,44.03,PAID
PAY-53,01c99d5e-2d62-42bd-8007-4e50be3eeaad,BankTransfer,2024-10-02T00:00:00,1123.25,917.18,206.07,PAID
PAY-54,01d2521a-fb16-4797-b985-c587112b937a,ExpenseReimbursement,2024-04-05T00:00:00,1342.72,1106.51,236.21,PAID
PAY-55,01d64717-4339-4a4e-922b-23e07ec1dc8a,BankTransfer,2024-05-23T00:00:00,797.86,754.75,43.11,PAID
PAY-56,01d7d6ee-1eb8-491b-94ab-99f791f9b3bb,CorporateCardSettlement,2025-02-12T00:00:00,503.38,480.19,23.19,PAID
PAY-57,01d89ea8-c17a-4095-82ab-54f959e3f8d6,ExpenseReimbursement,2024-04-27T00:00:00,220.6,215.94,4.66,PAID
PAY-58,01e32c21-69c9-45cc-94c7-cca2e3f981a2,BankTransfer,2025-07-20T00:00:00,10.3,8.23,2.07,PAID
PAY-59,01eae06e-1b38-452c-ad5c-e1ff9176b0fb,ExpenseReimbursement,2025-01-15T00:00:00,885.96,874.88,11.08,PAID
PAY-60,01ee8ec0-ef41-41fb-bb9d-06b460992220,ExpenseReimbursement,2025-02-28T00:00:00,919.57,702.28,217.29,PAID
PAY-61,01f4f57b-0e77-4154-902a-456bbd342969,CorporateCardSettlement,2025-07-10T00:00:00,967.28,734.94,232.34,PAID
PAY-62,01f5c09a-9a94-45dd-bf0f-cdb4c383eba2,BankTransfer,2024-05-13T00:00:00,294.79,222.33,72.46,PAID
PAY-63,02027a77-fb77-44d1-a28d-f11b8ea2389b,BankTransfer,2024-01-16T00:00:00,990.02,923.26,66.76,PAID
PAY-64,020ae8ca-8e28-443e-a6cb-8374e81894ca,BankTransfer,2024-07-16T00:00:00,676.98,601.28,75.7,PAID
PAY-65,020fb8b6-5f32-4c95-a2f1-fa39bf0c3fc0,ExpenseReimbursement,2025-07-18T00:00:00,677.34,577.49,99.85,PAID
PAY-66,0210555e-ac0b-4f6c-b096-46772e413548,BankTransfer,2025-05-13T00:00:00,976.74,747.09,229.65,PAID
PAY-67,021a9fc0-1481-4132-b351-1604080b5daa,CorporateCardSettlement,2024-06-24T00:00:00,372.24,318.47,53.77,PAID
PAY-68,021b120c-bfba-46eb-9dcc-ecefaf2a1f18,BankTransfer,2024-12-25T00:00:00,1154.23,1042.09,112.14,PAID
PAY-69,021d926f-f6f3-48c3-9408-0452363b78f4,ExpenseReimbursement,2025-04-24T00:00:00,531.52,481.4,50.12,PAID
PAY-70,02331b35-7973-4357-8629-9dc1cc5bd756,ExpenseReimbursement,2024-11-18T00:00:00,175.28,171.37,3.91,PAID
PAY-71,023c8cba-46c9-42ae-b741-045880f9ad60,CorporateCardSettlement,2024-02-22T00:00:00,911.84,768.38,143.46,PAID
PAY-72,02447599-2745-4cf7-a600-592b7537a403,ExpenseReimbursement,2024-11-29T00:00:00,739.19,628.58,110.61,PAID
PAY-73,0244af9f-7e46-4d7a-b730-3e23fe357b3c,CorporateCardSettlement,2024-04-08T00:00:00,848.44,752.99,95.45,PAID
PAY-74,02471e82-0bde-4989-8047-48936033de21,ExpenseReimbursement,2024-05-29T00:00:00,1264.4,966.73,297.67,PAID
PAY-75,0248f62e-dd7c-458a-8a9c-d0e3c4eb47af,ExpenseReimbursement,2025-05-03T00:00:00,160.26,125.98,34.28,PAID
PAY-76,0251fb7d-38b8-400e-ada1-740070668691,BankTransfer,2025-02-10T00:00:00,148.55,122.81,25.74,PAID
PAY-77,026b072b-a5ec-48d4-9e9d-f04f39ff6bfa,CorporateCardSettlement,2024-09-20T00:00:00,238.28,211.82,26.46,PAID
PAY-78,0272eef0-0f8a-43e7-8e74-2063811998aa,ExpenseReimbursement,2024-03-27T00:00:00,281.07,274.96,6.11,PAID
PAY-79,028871e3-da3d-42e0-93bd-1ef67df8f925,BankTransfer,2025-09-28T00:00:00,869.41,700.87,168.54,PAID
PAY-80,0296a68e-1350-4e42-b687-7a3a5d0a9d2e,BankTransfer,2024-08-01T00:00:00,710.4,702.68,7.72,PAID
PAY-81,02a345eb-a428-4fae-93cb-bbdc0d721d8c,BankTransfer,2025-06-03T00:00:00,1309.6,993.25,316.35,PAID
PAY-82,02a4e6d3-5863-488b-9629-f1c48d25f97b,ExpenseReimbursement,2025-04-25T00:00:00,1026.48,992.6,33.88,PAID
PAY-83,02ab3e62-7b4e-4d68-99c4-807d1eb318b2,BankTransfer,2025-05-27T00:00:00,1426.37,1144.16,282.21,PAID
PAY-84,02bb4d01-66ac-4fc8-9026-07db32480906,CorporateCardSettlement,2024-11-09T00:00:00,699.13,642.94,56.19,PAID
PAY-85,02bf2454-f8f9-41f5-a64d-9fbd2da4fe7d,BankTransfer,2025-08-31T00:00:00,473.53,355.92,117.61,PAID
PAY-86,02bf84e9-96b8-4fa4-b0b2-a1fe8fea1f24,ExpenseReimbursement,2025-02-09T00:00:00,984.35,898.22,86.13,PAID
PAY-87,02df4821-e144-4993-9dd4-23e2be4e4fe1,CorporateCardSettlement,2024-03-10T00:00:00,550.46,439.46,111.0,PAID
PAY-88,02df812f-42dd-4633-922d-bc1e3b809dc9,CorporateCardSettlement,2024-12-20T00:00:00,780.36,633.58,146.78,PAID
PAY-89,02e2d3f8-adc9-4902-96a8-5f49448f0250,BankTransfer,2024-11-16T00:00:00,881.76,716.22,165.54,PAID
PAY-90,02e31b38-776b-4c78-a64a-0337018c658d,BankTransfer,2023-10-30T00:00:00,1131.46,1111.62,19.84,PAID
PAY-91,02e50569-1ca8-4824-a49f-77d44b156ad0,ExpenseReimbursement,2024-07-07T00:00:00,1281.67,970.98,310.69,PAID
PAY-92,02f0cdaa-06f8-41a1-b7cd-d91946e284a9,CorporateCardSettlement,2025-06-20T00:00:00,115.47,110.72,4.75,PAID
PAY-93,02fccf0a-4a11-493f-a9bc-9dceb3d5002a,CorporateCardSettlement,2023-12-16T00:00:00,745.63,625.39,120.24,PAID
PAY-94,02fdf060-b33d-4173-aedb-a12e357c945e,BankTransfer,2024-04-07T00:00:00,877.86,665.1,212.76,PAID
PAY-95,0302ab93-6c50-497d-9b8a-c8a39d2b8809,BankTransfer,2024-11-14T00:00:00,615.73,591.45,24.28,PAID
PAY-96,0303c42f-65d3-4f08-b495-c4a334becea6,BankTransfer,2024-05-26T00:00:00,278.63,267.34,11.29,PAID
PAY-97,0304dc34-e8aa-4716-b61b-72575896c620,CorporateCardSettlement,2024-06-19T00:00:00,734.16,587.37,146.79,PAID
PAY-98,030fbfec-ba06-4b7c-97ff-6b5bd5cbeb65,BankTransfer,2025-03-13T00:00:00,943.53,712.6,230.93,PAID
PAY-99,030fd03b-21b2-44ad-9f64-dec67e3ee3e6,BankTransfer,2025-02-11T00:00:00,517.59,405.6,111.99,PAID
PAY-100,0316a5b0-c34c-4562-a608-11581fec54d4,CorporateCardSettlement,2024-12-20T00:00:00,198.52,181.0,17.52,PAID
PAY-101,031de400-88a5-41e8-8cf0-88fc1c82b874,CorporateCardSettlement,2025-09-21T00:00:00,154.79,153.4,1.39,PAID
PAY-102,032b00ef-4f65-4b68-b0bf-5c0aa85b6760,CorporateCardSettlement,2025-03-10T00:00:00,742.11,572.06,170.05,PAID
PAY-103,0339bb29-d609-4d14-8628-f56b3737ba20,CorporateCardSettlement,2025-02-25T00:00:00,1428.96,1261.6,167.36,PAID
PAY-104,03420632-b3b0-475a-abbe-f01a59997147,BankTransfer,2023-10-13T00:00:00,982.28,958.73,23.55,PAID
PAY-105,03451fbb-6f98-4280-9c52-02ad50916954,ExpenseReimbursement,2024-09-19T00:00:00,551.16,435.73,115.43,PAID
PAY-106,0358e08b-3cb5-4264-a28e-0e3f71269278,BankTransfer,2025-07-14T00:00:00,1286.44,1255.08,31.36,PAID
PAY-107,035cb5bb-f25d-4c2b-8787-3d249b6ec20d,CorporateCardSettlement,2024-10-21T00:00:00,1248.51,1185.81,62.7,PAID
PAY-108,035e8381-c13c-4723-88b6-c1f8f1e51c71,BankTransfer,2023-11-27T00:00:00,525.16,431.96,93.2,PAID
PAY-109,03646824-8a67-4051-bf79-3cc05326dffd,ExpenseReimbursement,2024-12-28T00:00:00,480.97,465.38,15.59,PAID
PAY-110,036d4709-2e2b-45cb-aa2f-4a2a6e9a4a85,ExpenseReimbursement,2023-12-08T00:00:00,214.22,209.88,4.34,PAID
PAY-111,036f6e9d-6fe5-4599-a7fa-f70325fa6ee2,ExpenseReimbursement,2024-04-19T00:00:00,187.54,156.21,31.33,PAID
PAY-112,03744b85-ac62-4693-8fc5-dc3b1a03420e,BankTransfer,2024-05-21T00:00:00,628.28,575.14,53.14,PAID
PAY-113,0376ee02-7e24-4475-91d7-d2574c6919a1,CorporateCardSettlement,2025-08-29T00:00:00,566.77,449.28,117.49,PAID
PAY-114,03851dd7-7cda-4aff-8da2-2a0be08dc37a,BankTransfer,2024-08-01T00:00:00,1194.9,1018.63,176.27,PAID
PAY-115,038d441f-1239-45d1-8d88-7b52328958c3,BankTransfer,2024-03-27T00:00:00,341.58,341.57,0.01,PAID
PAY-116,038f47a5-42e4-4d7a-9629-6cede301a8ef,BankTransfer,2024-10-17T00:00:00,1497.46,1176.55,320.91,PAID
PAY-117,0398da4b-32ae-4b18-be8c-57c5634f4e7c,ExpenseReimbursement,2023-11-22T00:00:00,1326.85,1236.42,90.43,PAID
PAY-118,03a8f6b0-b7f7-4cde-9750-b51eb59cc340,CorporateCardSettlement,2024-12-11T00:00:00,326.71,308.92,17.79,PAID
PAY-119,03aadaed-2706-4e3d-b7d3-dad437970e6b,CorporateCardSettlement,2024-06-11T00:00:00,793.3,790.7,2.6,PAID
PAY-120,03ad6e4a-7479-46a8-9c12-d8b3946e950f,CorporateCardSettlement,2024-12-14T00:00:00,548.16,539.84,8.32,PAID
PAY-121,03ba25fa-c697-4d03-bb72-7ce7e82dbb36,ExpenseReimbursement,2024-01-23T00:00:00,723.82,552.2,171.62,PAID
PAY-122,03c29125-cb4e-4340-bc69-10d12e885024,ExpenseReimbursement,2025-08-24T00:00:00,1314.22,1257.78,56.44,PAID
PAY-123,03cbf97e-d811-40fb-a39e-2d949be32164,CorporateCardSettlement,2023-12-31T00:00:00,1014.52,959.87,54.65,PAID
PAY-124,03e3a0a5-28ea-40d1-ba8d-a81c9486e688,ExpenseReimbursement,2024-05-27T00:00:00,561.21,497.99,63.22,PAID
PAY-125,03e3dff7-a5c9-436b-ade4-175ce3bcb9cf,CorporateCardSettlement,2023-10-10T00:00:00,904.84,747.66,157.18,PAID
PAY-126,03ed62fd-c73b-4cbe-91d4-b1826beaf0ba,CorporateCardSettlement,2024-10-20T00:00:00,382.51,375.95,6.56,PAID
PAY-127,03f8b1c0-e266-432e-81be-753ee227266b,ExpenseReimbursement,2025-03-12T00:00:00,321.3,255.27,66.03,PAID
PAY-128,040c091b-6f86-402c-bc8f-f84f7c18d17d,BankTransfer,2025-08-13T00:00:00,226.3,192.33,33.97,PAID
PAY-129,040fdcc5-d23e-46af-b4e8-d0bf4a642c60,BankTransfer,2025-01-29T00:00:00,1470.51,1143.54,326.97,PAID
PAY-130,04112d28-99a2-4d7f-a4e2-275118d0a891,ExpenseReimbursement,2025-02-24T00:00:00,295.66,246.45,49.21,PAID
PAY-131,041ea44f-c04b-4125-9003-fa6c42d4c7d0,BankTransfer,2025-09-14T00:00:00,260.65,199.42,61.23,PAID
PAY-132,041fd75b-f337-41f3-95c1-d888849fdb66,ExpenseReimbursement,2025-03-15T00:00:00,208.25,169.98,38.27,PAID
PAY-133,042219e8-d7d9-444a-abcf-f7cdf5baa943,ExpenseReimbursement,2024-08-04T00:00:00,1408.83,1083.48,325.35,PAID
PAY-134,0422a1e5-2f2f-4898-a715-f734f64f8b03,CorporateCardSettlement,2025-09-13T00:00:00,280.05,212.43,67.62,PAID
PAY-135,0424eb09-ef2a-4cdc-b837-7e247e3b219f,ExpenseReimbursement,2024-02-03T00:00:00,528.84,403.8,125.04,PAID
PAY-136,042d2f61-d217-42c2-ac7a-4923171764c5,ExpenseReimbursement,2025-01-09T00:00:00,158.27,155.02,3.25,PAID
PAY-137,04430b40-2a6a-4530-aa45-af3865f44ddd,BankTransfer,2025-03-27T00:00:00,1485.26,1436.66,48.6,PAID
PAY-138,044a5a0a-fb8c-4d1d-b6fd-be2116eca123,BankTransfer,2024-02-29T00:00:00,1004.42,842.52,161.9,PAID
PAY-139,044b2a61-f7fa-4d99-b072-86915e729026,CorporateCardSettlement,2025-06-17T00:00:00,1367.63,1294.51,73.12,PAID
PAY-140,044bc6a8-c5ca-49be-ac91-a2a2525bbe1d,BankTransfer,2024-08-19T00:00:00,494.35,399.98,94.37,PAID
PAY-141,04508e2f-2ebe-45c9-8d58-638e75cfcf52,ExpenseReimbursement,2025-01-17T00:00:00,1409.55,1361.38,48.17,PAID
PAY-142,04564ad9-f41c-45b8-82c7-6281ab3d4f60,ExpenseReimbursement,2024-03-12T00:00:00,649.26,579.62,69.64,PAID
PAY-143,04725fa1-7763-4277-b252-cd96c3914127,BankTransfer,2024-02-23T00:00:00,33.89,31.87,2.02,PAID
PAY-144,0474f670-308a-4a85-a21a-b77b7f6ac781,ExpenseReimbursement,2024-10-04T00:00:00,867.9,850.87,17.03,PAID
PAY-145,048b56d8-d010-49ed-9364-291cfa9aae81,ExpenseReimbursement,2024-03-25T00:00:00,1143.72,894.52,249.2,PAID
PAY-146,048cd19e-481c-49c5-b746-fab56ad68d21,BankTransfer,2025-04-01T00:00:00,1424.7,1268.89,155.81,PAID
PAY-147,049528aa-94cd-4130-9dd2-326876f8ea12,CorporateCardSettlement,2025-01-29T00:00:00,129.0,118.06,10.94,PAID
PAY-148,0498f458-4dd0-4446-9fea-2ed30848fb8a,CorporateCardSettlement,2023-12-03T00:00:00,221.7,205.42,16.28,PAID
PAY-149,049e70f0-fe76-4d79-8eef-59849fe65124,BankTransfer,2024-11-22T00:00:00,224.39,180.37,44.02,PAID
PAY-150,049e9a89-247e-4e04-b5a1-d21a48a83f07,CorporateCardSettlement,2025-08-15T00:00:00,1162.04,924.3,237.74,PAID
PAY-151,04a2e5a8-88c9-48a4-bc2c-aa954596602a,BankTransfer,2025-06-23T00:00:00,174.9,144.48,30.42,PAID
PAY-152,04abb28b-a5cb-41f2-82ec-559b6a131c7d,CorporateCardSettlement,2025-04-23T00:00:00,1124.57,849.82,274.75,PAID
PAY-153,04ad7931-a4aa-49b6-8677-ff1f2f646da0,CorporateCardSettlement,2023-12-10T00:00:00,629.86,493.24,136.62,PAID
PAY-154,04af07e9-3fa6-4c62-994b-3383e09bf92c,BankTransfer,2024-07-25T00:00:00,404.68,380.03,24.65,PAID
PAY-155,04bb3512-d9a1-4475-8023-f7ccfc8b748a,CorporateCardSettlement,2023-12-18T00:00:00,1280.31,1159.05,121.26,PAID
PAY-156,04bd0dc2-5b79-403e-b157-0074aeea5359,ExpenseReimbursement,2024-05-02T00:00:00,1182.99,935.73,247.26,PAID
PAY-157,04c2ed30-0275-453b-8e73-2321d4dedd08,BankTransfer,2025-05-18T00:00:00,269.95,204.11,65.84,PAID
PAY-158,04c72351-8dc8-4a73-9f0f-0971a49fba6a,CorporateCardSettlement,2024-05-04T00:00:00,690.47,643.68,46.79,PAID
PAY-159,04c90f0e-d6bf-44d9-b83f-54b19e654d2c,ExpenseReimbursement,2025-09-22T00:00:00,1216.04,1115.89,100.15,PAID
PAY-160,04d30b01-5a3f-4830-9bdb-a25f6b44c406,ExpenseReimbursement,2024-06-24T00:00:00,1000.26,953.05,47.21,PAID
PAY-161,04def2e8-54b9-46ec-92e5-96eb11ebc847,ExpenseReimbursement,2023-11-28T00:00:00,448.59,427.65,20.94,PAID
PAY-162,04ea5a7f-1148-4a37-8088-286c8becc7cd,BankTransfer,2024-01-27T00:00:00,1388.08,1161.58,226.5,PAID
PAY-163,04fb9465-c238-44c6-a333-819a0b8a0981,BankTransfer,2025-09-12T00:00:00,901.21,859.5,41.71,PAID
PAY-164,05018739-fb5c-47a4-870e-3983f6e3a1ea,CorporateCardSettlement,2024-11-09T00:00:00,890.3,875.12,15.18,PAID
PAY-165,0504289a-dd84-4e6d-92da-4e074bd42a33,ExpenseReimbursement,2024-06-26T00:00:00,976.5,807.05,169.45,PAID
PAY-166,050cb487-279a-462c-8d3e-426de0be80e8,ExpenseReimbursement,2024-12-31T00:00:00,175.68,148.05,27.63,PAID
PAY-167,050daf77-ce90-436f-92d6-a8a6be8dc876,CorporateCardSettlement,2025-06-07T00:00:00,317.84,302.71,15.13,PAID
PAY-168,0513b160-c58b-44fd-ba33-ad0ef1c90841,ExpenseReimbursement,2024-11-28T00:00:00,143.89,120.95,22.94,PAID
PAY-169,05160165-9caf-42b1-bec1-d1cd38623226,CorporateCardSettlement,2025-08-31T00:00:00,153.02,128.93,24.09,PAID
PAY-170,05199ab7-4a28-47bf-a2d7-541a67395ea4,ExpenseReimbursement,2024-02-08T00:00:00,645.92,559.85,86.07,PAID
PAY-171,0526a5bb-ea60-439c-9f0b-bf5f35795745,CorporateCardSettlement,2024-08-08T00:00:00,367.14,308.86,58.28,PAID
PAY-172,052f1cb3-ce9f-488d-b54d-a90d1eee6ad7,CorporateCardSettlement,2024-12-22T00:00:00,203.96,203.32,0.64,PAID
PAY-173,05313b2c-1433-41de-a9ad-9a6537780cdf,BankTransfer,2023-12-04T00:00:00,983.29,865.17,118.12,PAID
PAY-174,0532565d-f1a5-445e-8bca-cce2f5c13926,BankTransfer,2024-04-18T00:00:00,946.55,786.68,159.87,PAID
PAY-175,05332faf-6b1f-46e8-b3b1-825ddabe3041,ExpenseReimbursement,2025-01-28T00:00:00,183.39,163.4,19.99,PAID
PAY-176,0538569f-49e2-4e57-8488-532e110784be,ExpenseReimbursement,2024-04-23T00:00:00,1185.18,1165.08,20.1,PAID
PAY-177,054abd74-79be-40cf-b0e3-4051c913aa49,CorporateCardSettlement,2024-10-30T00:00:00,895.53,760.89,134.64,PAID
PAY-178,054b8751-1f13-4e6d-b184-929da8d1d976,CorporateCardSettlement,2025-03-24T00:00:00,1065.34,841.51,223.83,PAID
PAY-179,05552df8-169c-49f0-aafc-ae0256915a27,CorporateCardSettlement,2025-03-05T00:00:00,273.26,242.77,30.49,PAID
PAY-180,0564d849-5734-4d77-832c-6bf8a5de79ea,CorporateCardSettlement,2024-03-24T00:00:00,649.16,615.81,33.35,PAID
PAY-181,05664df3-2ae3-4d46-86af-c244ccf56006,ExpenseReimbursement,2025-06-13T00:00:00,208.84,187.56,21.28,PAID
PAY-182,056ed51d-cc88-40c7-bd6c-bc7bd767c356,BankTransfer,2024-03-27T00:00:00,922.92,791.75,131.17,PAID
PAY-183,0572e6d5-ea4d-46ae-8fe9-3668606f9fbf,ExpenseReimbursement,2024-01-09T00:00:00,542.25,507.5,34.75,PAID
PAY-184,05784f88-45be-4cf4-ae7f-a7bb7912ae6f,CorporateCardSettlement,2024-08-21T00:00:00,877.78,803.3,74.48,PAID
PAY-185,0578b96a-84dd-4560-bf96-0ca9968377ce,BankTransfer,2024-02-08T00:00:00,218.2,177.27,40.93,PAID
PAY-186,057a9ba6-8f48-4292-b6f0-a8d0ac28d512,BankTransfer,2023-11-18T00:00:00,822.38,741.94,80.44,PAID
PAY-187,057fe623-8e2e-41f5-a546-fb36ec0c7a77,CorporateCardSettlement,2024-11-17T00:00:00,1426.87,1406.05,20.82,PAID
PAY-188,058550e1-8f4f-48a5-a000-7133ffa266c3,CorporateCardSettlement,2024-12-25T00:00:00,1292.85,1190.75,102.1,PAID
PAY-189,0593f023-56d0-43e2-a307-0a8f3e859b59,ExpenseReimbursement,2024-05-10T00:00:00,929.52,900.83,28.69,PAID
PAY-190,059a6102-ec9f-4034-a878-83d1aa8ee754,CorporateCardSettlement,2025-05-20T00:00:00,817.71,690.7,127.01,PAID
PAY-191,05a1d8d5-edf3-4cce-a5de-9b6e316fbd42,ExpenseReimbursement,2024-02-11T00:00:00,1477.26,1158.46,318.8,PAID
PAY-192,05a8193e-7cd7-425e-a2f9-3c1acd83c7c3,CorporateCardSettlement,2024-06-12T00:00:00,943.79,855.04,88.75,PAID
PAY-193,05d3aa8c-943d-49f5-ab58-4623658a1a45,BankTransfer,2024-05-10T00:00:00,560.44,479.02,81.42,PAID
